shape,credit,songs,removed,decision,harvested,candidates,examples,confidence,labels,matched_label
trimmed:featured,Tommy Dorsey feat. Frank Sinatra,8,feat. Frank Sinatra,,"Q313529 Tommy Dorsey [spotify, mb]","Q313529 Tommy Dorsey [human, spotify, mb, via 'Tommy Dorsey']",I'll Never Smile Again (1940); Dolores (1941); Everything Happens to Me (1941); Oh! Look at Me Now (1941),single-shortened,Tommy Dorsey feat. Frank Sinatra | Tommy Dorsey,Tommy Dorsey
trimmed:featured,Larry Clinton feat. Bea Wain,3,feat. Bea Wain,,Q1806037 Larry Clinton [mb],"Q1806037 Larry Clinton [human, mb, via 'Larry Clinton']",Heart and Soul (1938); My Reverie (1938); Deep Purple (1939),single-shortened,Larry Clinton feat. Bea Wain | Larry Clinton,Larry Clinton
trimmed:featured,Les Brown feat. Doris Day,3,feat. Doris Day,,Q353587 Les Brown [mb],"Q353587 Les Brown [human, mb, via 'Les Brown']",My Dreams Are Getting Better All the Time (1945); Sentimental Journey (1945); You Won't Be Satisfied (Until You Break My Heart) (1946),single-shortened,Les Brown feat. Doris Day | Les Brown,Les Brown
trimmed:featured,Eminem feat. Rihanna,2,feat. Rihanna,,"Q5608 Eminem [spotify, mb]","Q5608 Eminem [human, spotify, mb, via 'Eminem']",Love the Way You Lie (2010); The Monster (2014),single-shortened,Eminem feat. Rihanna | Eminem,Eminem
trimmed:featured,Ja Rule featuring Ashanti,2,featuring Ashanti,,"Q309843 Ja Rule [spotify, mb]","Q309843 Ja Rule [human, spotify, mb, via 'Ja Rule']",Always on Time (2002); Mesmerize (2003),single-shortened,Ja Rule featuring Ashanti | Ja Rule,Ja Rule
trimmed:featured,Jennifer Lopez featuring Ja Rule,2,featuring Ja Rule,,"Q40715 Jennifer Lopez [spotify, mb]","Q40715 Jennifer Lopez [human, spotify, mb, via 'Jennifer Lopez']",I'm Real (Murder Remix) (2001); Ain't It Funny (Murder Remix) (2002),single-shortened,Jennifer Lopez featuring Ja Rule | Jennifer Lopez,Jennifer Lopez
trimmed:featured,Ray Noble feat. Buddy Clark,2,feat. Buddy Clark,,Q953019 Ray Noble [mb],"Q953019 Ray Noble [human, mb, via 'Ray Noble']",I'll Dance at Your Wedding (1947); Linda (1947),single-shortened,Ray Noble feat. Buddy Clark | Ray Noble,Ray Noble
trimmed:featured,Rihanna feat. Drake,2,feat. Drake,,"Q36844 Rihanna [spotify, mb]","Q36844 Rihanna [human, spotify, mb, via 'Rihanna']",What's My Name? (2011); Work (2016),single-shortened,Rihanna feat. Drake | Rihanna,Rihanna
trimmed:featured,Stan Kenton feat. June Christy,2,feat. June Christy,,"Q315780 Stan Kenton [spotify, mb]","Q315780 Stan Kenton [human, spotify, mb, via 'Stan Kenton']",Tampico (1945); Shoo-Fly Pie and Apple Pan Dowdy (1946),single-shortened,Stan Kenton feat. June Christy | Stan Kenton,Stan Kenton
trimmed:featured,The Weavers with Gordon Jenkins,2,with Gordon Jenkins,,"Q664062 The Weavers [spotify, mb]","Q664062 The Weavers [musical group, spotify, mb, via 'The Weavers']","Goodnight, Irene (1950); Tzena, Tzena, Tzena (1950)",single-shortened,The Weavers with Gordon Jenkins | The Weavers,The Weavers
trimmed:featured,Wiz Khalifa feat. Charlie Puth,2,feat. Charlie Puth,,"Q117139 Wiz Khalifa [spotify, mb]","Q117139 Wiz Khalifa [human, spotify, mb, via 'Wiz Khalifa']",See You Again (2015); See You Again (2015),single-shortened,Wiz Khalifa feat. Charlie Puth | Wiz Khalifa,Wiz Khalifa
